
Contrast: TPT_Semakau 

       average        sd  ratio       ava       avb cumsum
1263 0.0079421 0.013221 0.6007 0.0000000 0.0158841 0.8475
57   0.0076780 0.012929 0.5938 0.0044293 0.0132359 0.8562
51   0.0074446 0.011767 0.6327 0.0113144 0.0056493 0.8647
21   0.0073538 0.013912 0.5286 0.0006692 0.0143730 0.8730
46   0.0066728 0.029152 0.2289 0.0000000 0.0133455 0.8805
87   0.0052741 0.013163 0.4007 0.0063209 0.0049187 0.8865
14   0.0050979 0.006624 0.7696 0.0067679 0.0057998 0.8923
42   0.0050910 0.005912 0.8611 0.0075264 0.0056340 0.8980
85   0.0044796 0.014198 0.3155 0.0089592 0.0000000 0.9031
27   0.0041830 0.005646 0.7409 0.0006059 0.0082315 0.9078
32   0.0039200 0.006728 0.5826 0.0042677 0.0047143 0.9123
29   0.0039187 0.005288 0.7411 0.0070066 0.0015314 0.9167
1404 0.0038520 0.006781 0.5681 0.0077040 0.0000000 0.9211
12   0.0036000 0.012246 0.2940 0.0000000 0.0072000 0.9252
858  0.0033578 0.014670 0.2289 0.0000000 0.0067156 0.9290
1890 0.0032420 0.014164 0.2289 0.0000000 0.0064840 0.9326
224  0.0031525 0.006898 0.4570 0.0032599 0.0036640 0.9362
718  0.0030850 0.005350 0.5766 0.0026083 0.0043442 0.9397
114  0.0030300 0.007369 0.4112 0.0000000 0.0060599 0.9431
1484 0.0029946 0.008109 0.3693 0.0026708 0.0036157 0.9465
78   0.0028404 0.009980 0.2846 0.0000000 0.0056808 0.9497
62   0.0028054 0.006393 0.4388 0.0037132 0.0023193 0.9529
1375 0.0023787 0.006656 0.3574 0.0042206 0.0006561 0.9556
1958 0.0023753 0.009194 0.2583 0.0005613 0.0042455 0.9583
416  0.0021062 0.005808 0.3626 0.0036700 0.0006629 0.9607
1025 0.0020925 0.005234 0.3998 0.0020029 0.0023825 0.9630
65   0.0020540 0.004130 0.4974 0.0013247 0.0031464 0.9654
458  0.0020166 0.008810 0.2289 0.0000000 0.0040332 0.9676
1782 0.0019201 0.008389 0.2289 0.0000000 0.0038402 0.9698
63   0.0017930 0.006154 0.2914 0.0000000 0.0035861 0.9718
1957 0.0017464 0.007630 0.2289 0.0000000 0.0034929 0.9738
1962 0.0016789 0.007335 0.2289 0.0000000 0.0033578 0.9757
43   0.0016607 0.005933 0.2799 0.0000000 0.0033214 0.9776
1795 0.0016032 0.003867 0.4146 0.0032065 0.0000000 0.9794
1789 0.0015091 0.003956 0.3814 0.0016755 0.0015102 0.9811
1659 0.0014009 0.002738 0.5117 0.0019759 0.0010569 0.9827
45   0.0013176 0.003803 0.3464 0.0000000 0.0026353 0.9842
910  0.0011613 0.003775 0.3076 0.0000000 0.0023226 0.9855
33   0.0011500 0.005024 0.2289 0.0000000 0.0022999 0.9868
1118 0.0011315 0.002904 0.3897 0.0016037 0.0008058 0.9881
208  0.0011156 0.003021 0.3693 0.0018950 0.0004110 0.9894
1481 0.0011127 0.002877 0.3867 0.0013247 0.0010331 0.9906
939  0.0011057 0.002897 0.3816 0.0012305 0.0011040 0.9919
1132 0.0010453 0.003319 0.3149 0.0000000 0.0020906 0.9931
878  0.0009206 0.002496 0.3688 0.0009067 0.0010251 0.9941
185  0.0008730 0.002480 0.3520 0.0015766 0.0002071 0.9951
1519 0.0008719 0.002099 0.4153 0.0012972 0.0005458 0.9961
1531 0.0008469 0.003700 0.2289 0.0000000 0.0016939 0.9970
1900 0.0007623 0.003330 0.2289 0.0000000 0.0015245 0.9979
