
Contrast: TPT_Semakau 

       average        sd  ratio       ava       avb cumsum
19   0.0160854 0.023094 0.6965 0.0142901 0.0282352 0.5983
9    0.0151450 0.012366 1.2247 0.0221042 0.0329520 0.6216
15   0.0117265 0.011510 1.0188 0.0156479 0.0199460 0.6397
229  0.0112280 0.017219 0.6521 0.0027014 0.0214146 0.6570
11   0.0107495 0.014932 0.7199 0.0072430 0.0186114 0.6736
38   0.0101345 0.009203 1.1012 0.0197778 0.0094167 0.6892
21   0.0099986 0.013875 0.7206 0.0119456 0.0126758 0.7046
29   0.0089089 0.013135 0.6783 0.0075800 0.0142867 0.7183
202  0.0086584 0.016308 0.5309 0.0035123 0.0153193 0.7317
224  0.0086439 0.019737 0.4380 0.0091642 0.0093477 0.7450
26   0.0079503 0.012262 0.6484 0.0047653 0.0136498 0.7573
42   0.0077139 0.024877 0.3101 0.0013848 0.0145655 0.7692
58   0.0076315 0.010101 0.7555 0.0120009 0.0071277 0.7809
14   0.0075134 0.009653 0.7784 0.0088346 0.0101150 0.7925
35   0.0059934 0.010453 0.5734 0.0022555 0.0108548 0.8017
27   0.0059310 0.010537 0.5629 0.0000000 0.0118620 0.8109
30   0.0059256 0.011269 0.5258 0.0029765 0.0098713 0.8200
1789 0.0058396 0.018872 0.3094 0.0011360 0.0109130 0.8290
1484 0.0058047 0.011635 0.4989 0.0047666 0.0084500 0.8380
1773 0.0050700 0.014218 0.3566 0.0000000 0.0101401 0.8458
1118 0.0047829 0.016543 0.2891 0.0023619 0.0074400 0.8532
51   0.0047204 0.008560 0.5515 0.0076838 0.0024587 0.8604
41   0.0045589 0.007942 0.5740 0.0023370 0.0077056 0.8675
62   0.0044495 0.007089 0.6276 0.0045993 0.0056365 0.8743
1404 0.0043300 0.007879 0.5496 0.0080231 0.0012678 0.8810
45   0.0036650 0.009526 0.3847 0.0015442 0.0062305 0.8866
1263 0.0034980 0.006417 0.5451 0.0057655 0.0018886 0.8920
12   0.0032509 0.013239 0.2456 0.0060952 0.0004518 0.8970
46   0.0030730 0.006118 0.5023 0.0034138 0.0033978 0.9018
57   0.0030696 0.005936 0.5171 0.0028779 0.0039361 0.9065
1519 0.0028465 0.006478 0.4394 0.0009602 0.0051169 0.9109
63   0.0028372 0.007033 0.4034 0.0005718 0.0053303 0.9153
36   0.0028031 0.005998 0.4673 0.0008669 0.0050689 0.9196
416  0.0027919 0.007732 0.3611 0.0015079 0.0043320 0.9239
92   0.0027437 0.005416 0.5066 0.0023968 0.0035699 0.9281
878  0.0024761 0.006624 0.3738 0.0031220 0.0021180 0.9319
1184 0.0023998 0.007648 0.3138 0.0000000 0.0047995 0.9356
1132 0.0023270 0.006860 0.3392 0.0002405 0.0044617 0.9392
939  0.0022926 0.004897 0.4682 0.0015253 0.0034126 0.9428
85   0.0022225 0.005922 0.3753 0.0024464 0.0022208 0.9462
1659 0.0021587 0.005938 0.3635 0.0020531 0.0025160 0.9495
32   0.0021027 0.004015 0.5237 0.0008677 0.0036597 0.9528
1481 0.0018895 0.005227 0.3615 0.0034483 0.0004134 0.9557
208  0.0018356 0.004290 0.4279 0.0007566 0.0031066 0.9585
1279 0.0018002 0.004596 0.3917 0.0012583 0.0025545 0.9613
87   0.0016608 0.003856 0.4307 0.0000000 0.0033215 0.9638
185  0.0016082 0.005378 0.2990 0.0008261 0.0024730 0.9663
1795 0.0016043 0.004150 0.3866 0.0017460 0.0016373 0.9688
65   0.0015775 0.003904 0.4040 0.0019761 0.0013957 0.9712
1644 0.0015489 0.004661 0.3323 0.0000000 0.0030979 0.9736
448  0.0015364 0.005658 0.2715 0.0000000 0.0030727 0.9760
78   0.0015071 0.006578 0.2291 0.0000000 0.0030143 0.9783
910  0.0014376 0.003665 0.3922 0.0007858 0.0022465 0.9805
1531 0.0014071 0.004688 0.3001 0.0000000 0.0028143 0.9827
265  0.0013897 0.004338 0.3204 0.0019662 0.0009036 0.9848
1025 0.0013205 0.003035 0.4351 0.0024286 0.0003036 0.9869
43   0.0012060 0.005263 0.2291 0.0000000 0.0024120 0.9887
1375 0.0011127 0.003481 0.3197 0.0000000 0.0022254 0.9904
114  0.0011040 0.003564 0.3098 0.0006959 0.0015818 0.9921
718  0.0009649 0.002077 0.4646 0.0016923 0.0003393 0.9936
33   0.0008443 0.002735 0.3087 0.0011716 0.0005745 0.9949
53   0.0008195 0.003577 0.2291 0.0016390 0.0000000 0.9962
1943 0.0006889 0.003007 0.2291 0.0013778 0.0000000 0.9973
458  0.0005896 0.001918 0.3074 0.0008255 0.0003929 0.9982
1210 0.0004466 0.001199 0.3724 0.0004986 0.0004444 0.9989
1962 0.0003980 0.001737 0.2291 0.0000000 0.0007960 0.9995
1890 0.0003448 0.001505 0.2291 0.0000000 0.0006897 1.0000
858  0.0000000 0.000000    NaN 0.0000000 0.0000000 1.0000
1680 0.0000000 0.000000    NaN 0.0000000 0.0000000 1.0000
1782 0.0000000 0.000000    NaN 0.0000000 0.0000000 1.0000
1900 0.0000000 0.000000    NaN 0.0000000 0.0000000 1.0000
1957 0.0000000 0.000000    NaN 0.0000000 0.0000000 1.0000
1958 0.0000000 0.000000    NaN 0.0000000 0.0000000 1.0000

Contrast: Raffles Light House_Kusu 

       average       sd  ratio       ava       avb cumsum
4    0.2746441 0.059414 4.6226 0.5729790 0.0236908 0.3107
35   0.0461243 0.070946 0.6501 0.0022555 0.0926434 0.3629
18   0.0380287 0.011403 3.3350 0.0760574 0.0000000 0.4060
31   0.0362794 0.050846 0.7135 0.0036640 0.0727603 0.4470
8    0.0335158 0.037477 0.8943 0.0377361 0.0661372 0.4849
24   0.0325169 0.031558 1.0304 0.0211358 0.0664682 0.5217
9    0.0289938 0.040124 0.7226 0.0221042 0.0613306 0.5545
10   0.0281916 0.045815 0.6153 0.0172691 0.0639664 0.5864
11   0.0204525 0.024609 0.8311 0.0072430 0.0401783 0.6096
49   0.0168874 0.041522 0.4067 0.0056242 0.0297089 0.6287
17   0.0158552 0.016115 0.9839 0.0290947 0.0095272 0.6466
30   0.0151301 0.040150 0.3768 0.0029765 0.0281766 0.6637
41   0.0149176 0.044658 0.3340 0.0023370 0.0282723 0.6806
19   0.0147740 0.016843 0.8772 0.0142901 0.0258872 0.6973
1184 0.0140137 0.030966 0.4525 0.0000000 0.0280274 0.7132
448  0.0138789 0.026895 0.5160 0.0000000 0.0277577 0.7289
15   0.0118730 0.013097 0.9066 0.0156479 0.0171623 0.7423
229  0.0115051 0.017843 0.6448 0.0027014 0.0219802 0.7553
58   0.0106820 0.014791 0.7222 0.0120009 0.0142185 0.7674
21   0.0105532 0.014279 0.7391 0.0119456 0.0143730 0.7794
202  0.0105499 0.038829 0.2717 0.0035123 0.0179388 0.7913
1644 0.0101868 0.021159 0.4815 0.0000000 0.0203737 0.8028
38   0.0098889 0.009995 0.9894 0.0197778 0.0000000 0.8140
1680 0.0091598 0.015803 0.5796 0.0000000 0.0183195 0.8244
1263 0.0091136 0.012515 0.7282 0.0057655 0.0158841 0.8347
26   0.0087246 0.014210 0.6140 0.0047653 0.0145901 0.8446
46   0.0082090 0.028728 0.2857 0.0034138 0.0133455 0.8538
36   0.0076495 0.016132 0.4742 0.0008669 0.0147788 0.8625
57   0.0074197 0.013629 0.5444 0.0028779 0.0132359 0.8709
12   0.0062876 0.016948 0.3710 0.0060952 0.0072000 0.8780
14   0.0060184 0.008194 0.7345 0.0088346 0.0057998 0.8848
51   0.0058809 0.010118 0.5812 0.0076838 0.0056493 0.8915
224  0.0058777 0.011732 0.5010 0.0091642 0.0036640 0.8981
29   0.0042069 0.006921 0.6078 0.0075800 0.0015314 0.9029
27   0.0041157 0.005819 0.7073 0.0000000 0.0082315 0.9075
1404 0.0040115 0.008112 0.4945 0.0080231 0.0000000 0.9121
1484 0.0039113 0.008290 0.4718 0.0047666 0.0036157 0.9165
858  0.0033578 0.014655 0.2291 0.0000000 0.0067156 0.9203
114  0.0032510 0.007254 0.4482 0.0006959 0.0060599 0.9240
1890 0.0032420 0.014149 0.2291 0.0000000 0.0064840 0.9276
42   0.0032012 0.005596 0.5720 0.0013848 0.0056340 0.9313
62   0.0030539 0.004910 0.6219 0.0045993 0.0023193 0.9347
78   0.0028404 0.009970 0.2849 0.0000000 0.0056808 0.9379
718  0.0027644 0.005291 0.5225 0.0016923 0.0043442 0.9411
32   0.0026426 0.005784 0.4569 0.0008677 0.0047143 0.9441
87   0.0024594 0.010008 0.2457 0.0000000 0.0049187 0.9468
458  0.0023881 0.008807 0.2712 0.0008255 0.0040332 0.9495
65   0.0023124 0.004579 0.5050 0.0019761 0.0031464 0.9522
1025 0.0022841 0.005585 0.4090 0.0024286 0.0023825 0.9547
1481 0.0021374 0.005454 0.3919 0.0034483 0.0010331 0.9572
1958 0.0021227 0.009264 0.2291 0.0000000 0.0042455 0.9596
63   0.0020218 0.006126 0.3300 0.0005718 0.0035861 0.9618
878  0.0019843 0.005529 0.3589 0.0031220 0.0010251 0.9641
45   0.0019295 0.004273 0.4515 0.0015442 0.0026353 0.9663
1782 0.0019201 0.008380 0.2291 0.0000000 0.0038402 0.9684
1957 0.0017464 0.007622 0.2291 0.0000000 0.0034929 0.9704
92   0.0017199 0.002916 0.5897 0.0023968 0.0015137 0.9724
1962 0.0016789 0.007327 0.2291 0.0000000 0.0033578 0.9743
33   0.0016772 0.005406 0.3102 0.0011716 0.0022999 0.9762
43   0.0016607 0.005927 0.2802 0.0000000 0.0033214 0.9780
1118 0.0015436 0.005280 0.2924 0.0023619 0.0008058 0.9798
1659 0.0015021 0.004742 0.3168 0.0020531 0.0010569 0.9815
910  0.0014795 0.003945 0.3751 0.0007858 0.0023226 0.9832
1789 0.0012663 0.003741 0.3385 0.0011360 0.0015102 0.9846
939  0.0012384 0.002770 0.4471 0.0015253 0.0011040 0.9860
85   0.0012232 0.005338 0.2291 0.0024464 0.0000000 0.9874
1132 0.0011415 0.003290 0.3470 0.0002405 0.0020906 0.9887
53   0.0011351 0.003750 0.3027 0.0016390 0.0007014 0.9900
416  0.0010522 0.003462 0.3039 0.0015079 0.0006629 0.9911
265  0.0009831 0.004291 0.2291 0.0019662 0.0000000 0.9923
1210 0.0009738 0.003270 0.2978 0.0004986 0.0014989 0.9934
1795 0.0008730 0.002653 0.3291 0.0017460 0.0000000 0.9943
1531 0.0008469 0.003696 0.2291 0.0000000 0.0016939 0.9953
1900 0.0007623 0.003327 0.2291 0.0000000 0.0015245 0.9962
1943 0.0006889 0.003007 0.2291 0.0013778 0.0000000 0.9969
1519 0.0006811 0.001306 0.5214 0.0009602 0.0005458 0.9977
1279 0.0006291 0.002746 0.2291 0.0012583 0.0000000 0.9984
208  0.0005633 0.001801 0.3128 0.0007566 0.0004110 0.9991
185  0.0004959 0.001330 0.3730 0.0008261 0.0002071 0.9996
1375 0.0003281 0.001432 0.2291 0.0000000 0.0006561 1.0000
1773 0.0000000 0.000000    NaN 0.0000000 0.0000000 1.0000

Contrast: Jong_Hantu 

       average        sd  ratio       ava       avb cumsum
4    0.0695289 0.0527589 1.3179 0.4756692 4.571e-01 0.1536
17   0.0644562 0.0796072 0.8097 0.0430098 1.383e-01 0.2960
18   0.0224771 0.0195424 1.1502 0.0791098 3.895e-02 0.3457
46   0.0214386 0.0255085 0.8405 0.0153611 3.538e-02 0.3930
202  0.0198204 0.0376511 0.5264 0.0273482 1.580e-02 0.4368
24   0.0193067 0.0144243 1.3385 0.0159392 4.395e-02 0.4795
31   0.0183948 0.0198735 0.9256 0.0327897 2.280e-02 0.5201
10   0.0166976 0.0194426 0.8588 0.0094686 3.150e-02 0.5570
8    0.0137751 0.0116579 1.1816 0.0241807 1.638e-02 0.5874
38   0.0127212 0.0098491 1.2916 0.0254506 3.597e-02 0.6155
19   0.0126632 0.0148655 0.8519 0.0223630 1.229e-02 0.6435
41   0.0119230 0.0169647 0.7028 0.0227159 3.390e-03 0.6698
11   0.0105292 0.0108051 0.9745 0.0206937 6.455e-03 0.6931
9    0.0084442 0.0072363 1.1669 0.0220063 1.292e-02 0.7118
35   0.0080811 0.0117790 0.6861 0.0052065 1.304e-02 0.7296
416  0.0072729 0.0154687 0.4702 0.0145457 0.000e+00 0.7457
30   0.0066294 0.0060811 1.0902 0.0038860 1.205e-02 0.7603
49   0.0063108 0.0129352 0.4879 0.0126216 0.000e+00 0.7743
1958 0.0062345 0.0075558 0.8251 0.0034103 1.142e-02 0.7880
1404 0.0058266 0.0051213 1.1377 0.0061821 1.042e-02 0.8009
1943 0.0050028 0.0057964 0.8631 0.0018649 9.633e-03 0.8120
58   0.0049856 0.0051431 0.9694 0.0095253 3.566e-03 0.8230
448  0.0046701 0.0104863 0.4453 0.0093401 0.000e+00 0.8333
63   0.0042754 0.0062866 0.6801 0.0071538 2.514e-03 0.8428
42   0.0038540 0.0066009 0.5839 0.0072612 8.043e-04 0.8513
26   0.0034240 0.0036220 0.9453 0.0063185 2.693e-03 0.8588
51   0.0032821 0.0041375 0.7933 0.0063093 2.295e-03 0.8661
29   0.0032499 0.0029163 1.1144 0.0036847 5.045e-03 0.8733
78   0.0031164 0.0047328 0.6585 0.0045112 2.825e-03 0.8801
1680 0.0030991 0.0056419 0.5493 0.0061981 0.000e+00 0.8870
1789 0.0029613 0.0054947 0.5389 0.0059225 0.000e+00 0.8935
62   0.0027062 0.0077407 0.3496 0.0054124 0.000e+00 0.8995
1484 0.0026934 0.0034717 0.7758 0.0000000 5.387e-03 0.9055
14   0.0025858 0.0028233 0.9159 0.0023830 4.483e-03 0.9112
21   0.0022984 0.0033634 0.6834 0.0038372 1.367e-03 0.9163
1773 0.0022549 0.0033249 0.6782 0.0025159 2.564e-03 0.9212
114  0.0022200 0.0044446 0.4995 0.0032535 1.526e-03 0.9261
458  0.0020732 0.0059303 0.3496 0.0041465 0.000e+00 0.9307
224  0.0020442 0.0041347 0.4944 0.0000000 4.088e-03 0.9352
15   0.0018723 0.0021578 0.8677 0.0023878 2.442e-03 0.9394
65   0.0017922 0.0020655 0.8677 0.0025017 1.949e-03 0.9433
33   0.0017854 0.0039247 0.4549 0.0035709 0.000e+00 0.9473
43   0.0015467 0.0019709 0.7848 0.0000000 3.093e-03 0.9507
1644 0.0015256 0.0030858 0.4944 0.0000000 3.051e-03 0.9541
1890 0.0015020 0.0030379 0.4944 0.0000000 3.004e-03 0.9574
1025 0.0014886 0.0021073 0.7064 0.0000000 2.977e-03 0.9607
1782 0.0014410 0.0029146 0.4944 0.0000000 2.882e-03 0.9639
85   0.0014398 0.0029122 0.4944 0.0000000 2.880e-03 0.9670
45   0.0013638 0.0039011 0.3496 0.0027277 0.000e+00 0.9700
1184 0.0013433 0.0027169 0.4944 0.0000000 2.687e-03 0.9730
92   0.0011941 0.0022120 0.5398 0.0021555 4.190e-04 0.9757
265  0.0010678 0.0030544 0.3496 0.0021356 0.000e+00 0.9780
878  0.0009547 0.0026433 0.3612 0.0018614 6.162e-05 0.9801
1900 0.0009383 0.0018978 0.4944 0.0000000 1.877e-03 0.9822
1263 0.0009357 0.0026765 0.3496 0.0018714 0.000e+00 0.9843
910  0.0008481 0.0014322 0.5921 0.0003944 1.460e-03 0.9861
1519 0.0008191 0.0023431 0.3496 0.0016383 0.000e+00 0.9879
1795 0.0008052 0.0023030 0.3496 0.0016103 0.000e+00 0.9897
858  0.0007860 0.0022484 0.3496 0.0015721 0.000e+00 0.9915
57   0.0007716 0.0013487 0.5721 0.0009393 7.764e-04 0.9932
87   0.0006556 0.0014381 0.4558 0.0010516 3.336e-04 0.9946
32   0.0006233 0.0007552 0.8253 0.0002790 1.169e-03 0.9960
939  0.0006032 0.0012201 0.4944 0.0000000 1.206e-03 0.9973
185  0.0004954 0.0014170 0.3496 0.0009908 0.000e+00 0.9984
1659 0.0004724 0.0007949 0.5944 0.0002282 8.080e-04 0.9995
1279 0.0002440 0.0006980 0.3496 0.0004880 0.000e+00 1.0000
12   0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
27   0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
36   0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
53   0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
208  0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
229  0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
718  0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1118 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1132 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1210 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1375 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1481 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1531 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1957 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000
1962 0.0000000 0.0000000    NaN 0.0000000 0.000e+00 1.0000

Contrast: Jong_Sisters 

       average        sd  ratio       ava       avb cumsum
4    0.1725574 0.0947230 1.8217 0.4756692 0.2610262 0.2557
8    0.0360265 0.0312882 1.1514 0.0241807 0.0842216 0.3091
18   0.0310201 0.0205568 1.5090 0.0791098 0.0303544 0.3550
31   0.0286765 0.0286603 1.0006 0.0327897 0.0514842 0.3975
10   0.0271245 0.0392209 0.6916 0.0094686 0.0556067 0.4377
49   0.0243962 0.0424470 0.5747 0.0126216 0.0430794 0.4739
24   0.0232355 0.0306420 0.7583 0.0159392 0.0417028 0.5083
17   0.0230856 0.0242937 0.9503 0.0430098 0.0159398 0.5425
202  0.0196316 0.0377534 0.5200 0.0273482 0.0153193 0.5716
19   0.0189970 0.0247452 0.7677 0.0223630 0.0282352 0.5997
9    0.0151149 0.0125911 1.2004 0.0220063 0.0329520 0.6221
11   0.0140053 0.0143637 0.9751 0.0206937 0.0186114 0.6429
41   0.0127767 0.0166196 0.7688 0.0227159 0.0077056 0.6618
38   0.0120613 0.0101098 1.1930 0.0254506 0.0094167 0.6797
229  0.0107073 0.0173571 0.6169 0.0000000 0.0214146 0.6956
42   0.0098873 0.0243581 0.4059 0.0072612 0.0145655 0.7102
15   0.0096057 0.0106015 0.9061 0.0023878 0.0199460 0.7244
46   0.0090019 0.0213548 0.4215 0.0153611 0.0033978 0.7378
416  0.0086417 0.0155351 0.5563 0.0145457 0.0043320 0.7506
26   0.0081436 0.0112493 0.7239 0.0063185 0.0136498 0.7626
29   0.0078065 0.0132736 0.5881 0.0036847 0.0142867 0.7742
1789 0.0075971 0.0184578 0.4116 0.0059225 0.0109130 0.7855
21   0.0072336 0.0125821 0.5749 0.0038372 0.0126758 0.7962
35   0.0067377 0.0098451 0.6844 0.0052065 0.0108548 0.8062
30   0.0062382 0.0114400 0.5453 0.0038860 0.0098713 0.8154
1773 0.0059323 0.0139549 0.4251 0.0025159 0.0101401 0.8242
27   0.0059310 0.0105535 0.5620 0.0000000 0.0118620 0.8330
58   0.0059212 0.0056881 1.0410 0.0095253 0.0071277 0.8418
448  0.0057073 0.0108330 0.5268 0.0093401 0.0030727 0.8502
14   0.0056019 0.0087716 0.6386 0.0023830 0.0101150 0.8585
63   0.0053954 0.0082149 0.6568 0.0071538 0.0053303 0.8665
62   0.0049002 0.0092873 0.5276 0.0054124 0.0056365 0.8738
224  0.0046739 0.0182086 0.2567 0.0000000 0.0093477 0.8807
1484 0.0042250 0.0117882 0.3584 0.0000000 0.0084500 0.8870
45   0.0041332 0.0096226 0.4295 0.0027277 0.0062305 0.8931
51   0.0040685 0.0061267 0.6641 0.0063093 0.0024587 0.8991
1118 0.0037200 0.0162603 0.2288 0.0000000 0.0074400 0.9046
78   0.0035372 0.0073777 0.4794 0.0045112 0.0030143 0.9099
1404 0.0032107 0.0036942 0.8691 0.0061821 0.0012678 0.9146
1519 0.0031354 0.0065665 0.4775 0.0016383 0.0051169 0.9193
1680 0.0030991 0.0055944 0.5540 0.0061981 0.0000000 0.9239
92   0.0026472 0.0054142 0.4889 0.0021555 0.0035699 0.9278
36   0.0025345 0.0059969 0.4226 0.0000000 0.0050689 0.9315
1184 0.0023998 0.0076599 0.3133 0.0000000 0.0047995 0.9351
114  0.0022549 0.0053692 0.4200 0.0032535 0.0015818 0.9384
57   0.0022499 0.0046759 0.4812 0.0009393 0.0039361 0.9418
1132 0.0022309 0.0069209 0.3223 0.0000000 0.0044617 0.9451
458  0.0022260 0.0058202 0.3825 0.0041465 0.0003929 0.9484
87   0.0019981 0.0037972 0.5262 0.0010516 0.0033215 0.9513
33   0.0019662 0.0038848 0.5061 0.0035709 0.0005745 0.9543
32   0.0019136 0.0039797 0.4808 0.0002790 0.0036597 0.9571
878  0.0018966 0.0049794 0.3809 0.0018614 0.0021180 0.9599
65   0.0017960 0.0032570 0.5514 0.0025017 0.0013957 0.9626
1263 0.0017289 0.0037332 0.4631 0.0018714 0.0018886 0.9651
939  0.0017063 0.0050072 0.3408 0.0000000 0.0034126 0.9677
1958 0.0017051 0.0038978 0.4375 0.0034103 0.0000000 0.9702
185  0.0016823 0.0053751 0.3130 0.0009908 0.0024730 0.9727
208  0.0015533 0.0042104 0.3689 0.0000000 0.0031066 0.9750
1644 0.0015489 0.0046682 0.3318 0.0000000 0.0030979 0.9773
1795 0.0015433 0.0039529 0.3904 0.0016103 0.0016373 0.9796
1279 0.0014725 0.0039792 0.3700 0.0004880 0.0025545 0.9817
265  0.0014192 0.0030974 0.4582 0.0021356 0.0009036 0.9838
1531 0.0014071 0.0046954 0.2997 0.0000000 0.0028143 0.9859
1659 0.0013493 0.0044115 0.3059 0.0002282 0.0025160 0.9879
910  0.0012810 0.0034045 0.3763 0.0003944 0.0022465 0.9898
43   0.0012060 0.0052714 0.2288 0.0000000 0.0024120 0.9916
1375 0.0011127 0.0034861 0.3192 0.0000000 0.0022254 0.9933
85   0.0011104 0.0033986 0.3267 0.0000000 0.0022208 0.9949
1943 0.0009325 0.0026448 0.3526 0.0018649 0.0000000 0.9963
858  0.0007860 0.0022295 0.3526 0.0015721 0.0000000 0.9975
1962 0.0003980 0.0017398 0.2288 0.0000000 0.0007960 0.9980
1890 0.0003448 0.0015073 0.2288 0.0000000 0.0006897 0.9986
12   0.0002259 0.0009874 0.2288 0.0000000 0.0004518 0.9989
1210 0.0002222 0.0009712 0.2288 0.0000000 0.0004444 0.9992
1481 0.0002067 0.0009035 0.2288 0.0000000 0.0004134 0.9995
718  0.0001696 0.0007415 0.2288 0.0000000 0.0003393 0.9998
1025 0.0001518 0.0006635 0.2288 0.0000000 0.0003036 1.0000
53   0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1782 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1900 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000
1957 0.0000000 0.0000000    NaN 0.0000000 0.0000000 1.0000

Contrast: Jong_Kusu 

       average        sd  ratio       ava       avb cumsum
4    0.2259892 0.0618745 3.6524 0.4756692 0.0236908 0.2587
35   0.0458755 0.0703374 0.6522 0.0052065 0.0926434 0.3112
18   0.0395549 0.0193561 2.0435 0.0791098 0.0000000 0.3564
31   0.0389469 0.0453096 0.8596 0.0327897 0.0727603 0.4010
24   0.0328116 0.0332744 0.9861 0.0159392 0.0664682 0.4386
8    0.0319890 0.0391186 0.8177 0.0241807 0.0661372 0.4752
10   0.0297656 0.0467226 0.6371 0.0094686 0.0639664 0.5093
9    0.0288973 0.0403248 0.7166 0.0220063 0.0613306 0.5423
17   0.0226017 0.0256299 0.8818 0.0430098 0.0095272 0.5682
41   0.0225389 0.0431141 0.5228 0.0227159 0.0282723 0.5940
11   0.0213985 0.0220348 0.9711 0.0206937 0.0401783 0.6185
202  0.0212761 0.0510720 0.4166 0.0273482 0.0179388 0.6428
49   0.0191342 0.0398623 0.4800 0.0126216 0.0297089 0.6647
19   0.0175952 0.0195533 0.8999 0.0223630 0.0258872 0.6849
448  0.0159207 0.0257693 0.6178 0.0093401 0.0277577 0.7031
30   0.0154484 0.0400766 0.3855 0.0038860 0.0281766 0.7208
1184 0.0140137 0.0310138 0.4519 0.0000000 0.0280274 0.7368
46   0.0135853 0.0337744 0.4022 0.0153611 0.0133455 0.7524
38   0.0127253 0.0110823 1.1483 0.0254506 0.0000000 0.7669
229  0.0109901 0.0180049 0.6104 0.0000000 0.0219802 0.7795
1680 0.0104865 0.0144273 0.7269 0.0061981 0.0183195 0.7915
1644 0.0101868 0.0211912 0.4807 0.0000000 0.0203737 0.8032
58   0.0095692 0.0125548 0.7622 0.0095253 0.0142185 0.8141
26   0.0091906 0.0131245 0.7003 0.0063185 0.0145901 0.8247
15   0.0086656 0.0123992 0.6989 0.0023878 0.0171623 0.8346
1263 0.0082192 0.0127843 0.6429 0.0018714 0.0158841 0.8440
21   0.0081458 0.0131909 0.6175 0.0038372 0.0143730 0.8533
416  0.0074570 0.0151626 0.4918 0.0145457 0.0006629 0.8618
36   0.0073894 0.0163598 0.4517 0.0000000 0.0147788 0.8703
57   0.0068242 0.0136400 0.5003 0.0009393 0.0132359 0.8781
42   0.0052996 0.0071332 0.7429 0.0072612 0.0056340 0.8842
51   0.0052045 0.0084092 0.6189 0.0063093 0.0056493 0.8901
63   0.0048218 0.0079496 0.6065 0.0071538 0.0035861 0.8957
78   0.0046764 0.0100550 0.4651 0.0045112 0.0056808 0.9010
114  0.0041837 0.0077473 0.5400 0.0032535 0.0060599 0.9058
27   0.0041157 0.0058276 0.7062 0.0000000 0.0082315 0.9105
858  0.0040652 0.0145058 0.2802 0.0015721 0.0067156 0.9152
458  0.0038825 0.0098551 0.3940 0.0041465 0.0040332 0.9196
1958 0.0036574 0.0093813 0.3899 0.0034103 0.0042455 0.9238
14   0.0036148 0.0059086 0.6118 0.0023830 0.0057998 0.9279
62   0.0036081 0.0078680 0.4586 0.0054124 0.0023193 0.9321
12   0.0036000 0.0122526 0.2938 0.0000000 0.0072000 0.9362
1789 0.0034429 0.0057926 0.5944 0.0059225 0.0015102 0.9401
1890 0.0032420 0.0141709 0.2288 0.0000000 0.0064840 0.9438
1404 0.0030910 0.0037806 0.8176 0.0061821 0.0000000 0.9474
87   0.0028963 0.0099004 0.2925 0.0010516 0.0049187 0.9507
33   0.0027568 0.0057597 0.4786 0.0035709 0.0022999 0.9538
65   0.0024647 0.0039867 0.6182 0.0025017 0.0031464 0.9567
32   0.0024409 0.0058146 0.4198 0.0002790 0.0047143 0.9594
29   0.0024239 0.0044233 0.5480 0.0036847 0.0015314 0.9622
45   0.0024126 0.0048572 0.4967 0.0027277 0.0026353 0.9650
718  0.0021721 0.0054539 0.3983 0.0000000 0.0043442 0.9675
1782 0.0019201 0.0083929 0.2288 0.0000000 0.0038402 0.9697
224  0.0018320 0.0055559 0.3297 0.0000000 0.0036640 0.9718
1484 0.0018079 0.0075294 0.2401 0.0000000 0.0036157 0.9738
1957 0.0017464 0.0076337 0.2288 0.0000000 0.0034929 0.9758
1962 0.0016789 0.0073385 0.2288 0.0000000 0.0033578 0.9778
43   0.0016607 0.0059359 0.2798 0.0000000 0.0033214 0.9797
92   0.0016202 0.0028252 0.5735 0.0021555 0.0015137 0.9815
878  0.0013502 0.0032141 0.4201 0.0018614 0.0010251 0.9831
910  0.0013190 0.0037099 0.3556 0.0003944 0.0023226 0.9846
1773 0.0012580 0.0035680 0.3526 0.0025159 0.0000000 0.9860
1025 0.0011912 0.0052069 0.2288 0.0000000 0.0023825 0.9874
265  0.0010678 0.0030287 0.3526 0.0021356 0.0000000 0.9886
1132 0.0010453 0.0033208 0.3148 0.0000000 0.0020906 0.9898
1519 0.0010314 0.0023306 0.4425 0.0016383 0.0005458 0.9910
1943 0.0009325 0.0026448 0.3526 0.0018649 0.0000000 0.9920
